Run,Strategy,DataType,BTCChange%,PortfolioChange%
63,SimpleMomentum,Normal,2.4166,0.0000
63,BollingerBands,Normal,2.4166,3.0595
63,SimpleMomentum,Noise3,-3.5637,8.1712
63,BollingerBands,Noise3,-3.5637,0.0000
63,SimpleMomentum,Noise6,10.3889,22.6285
63,BollingerBands,Noise6,10.3889,72.5193
64,SimpleMomentum,Normal,0.5850,-0.0436
64,BollingerBands,Normal,0.5850,2.0492
64,SimpleMomentum,Noise3,8.7908,12.3850
64,BollingerBands,Noise3,8.7908,0.0000
64,SimpleMomentum,Noise6,-3.8408,8.3448
64,BollingerBands,Noise6,-3.8408,84.2675
65,SimpleMomentum,Normal,-4.9856,0.0000
65,BollingerBands,Normal,-4.9856,-2.1905
65,SimpleMomentum,Noise3,-4.1848,5.7806
65,BollingerBands,Noise3,-4.1848,8.9018
65,SimpleMomentum,Noise6,0.8678,17.6826
65,BollingerBands,Noise6,0.8678,45.5147
66,SimpleMomentum,Normal,3.7767,0.1234
66,BollingerBands,Normal,3.7767,2.5361
66,SimpleMomentum,Noise3,3.5597,10.3754
66,BollingerBands,Noise3,3.5597,0.0000
66,SimpleMomentum,Noise6,10.2541,16.8068
66,BollingerBands,Noise6,10.2541,53.2645
67,SimpleMomentum,Normal,0.2032,0.4187
67,BollingerBands,Normal,0.2032,2.8778
67,SimpleMomentum,Noise3,-0.6562,8.7036
67,BollingerBands,Noise3,-0.6562,0.0000
67,SimpleMomentum,Noise6,20.6397,17.3945
67,BollingerBands,Noise6,20.6397,34.7644
68,SimpleMomentum,Normal,1.6242,0.4105
68,BollingerBands,Normal,1.6242,-0.2140
68,SimpleMomentum,Noise3,-6.3333,10.8740
68,BollingerBands,Noise3,-6.3333,24.5228
68,SimpleMomentum,Noise6,-6.5507,13.3361
68,BollingerBands,Noise6,-6.5507,219.7384
69,SimpleMomentum,Normal,4.0084,0.0000
69,BollingerBands,Normal,4.0084,1.5096
69,SimpleMomentum,Noise3,3.2322,10.2839
69,BollingerBands,Noise3,3.2322,9.6321
69,SimpleMomentum,Noise6,5.1426,18.4889
69,BollingerBands,Noise6,5.1426,96.4801
70,SimpleMomentum,Normal,6.8345,2.3752
70,BollingerBands,Normal,6.8345,2.9192
70,SimpleMomentum,Noise3,6.2795,11.0321
70,BollingerBands,Noise3,6.2795,3.9864
70,SimpleMomentum,Noise6,8.9127,25.2608
70,BollingerBands,Noise6,8.9127,46.7594
71,SimpleMomentum,Normal,0.2234,2.8497
71,BollingerBands,Normal,0.2234,-4.2186
71,SimpleMomentum,Noise3,1.8800,11.4663
71,BollingerBands,Noise3,1.8800,44.7234
71,SimpleMomentum,Noise6,-7.6378,17.9058
71,BollingerBands,Noise6,-7.6378,46.0590
72,SimpleMomentum,Normal,4.7621,0.7697
72,BollingerBands,Normal,4.7621,5.0368
72,SimpleMomentum,Noise3,12.6965,15.1126
72,BollingerBands,Noise3,12.6965,3.9864
72,SimpleMomentum,Noise6,8.5332,24.3846
72,BollingerBands,Noise6,8.5332,46.3488
73,SimpleMomentum,Normal,-1.2793,0.0524
73,BollingerBands,Normal,-1.2793,1.0755
73,SimpleMomentum,Noise3,-3.8002,7.3367
73,BollingerBands,Noise3,-3.8002,22.7842
73,SimpleMomentum,Noise6,-7.8459,10.3389
73,BollingerBands,Noise6,-7.8459,40.6792
74,SimpleMomentum,Normal,3.0821,0.6824
74,BollingerBands,Normal,3.0821,5.0368
74,SimpleMomentum,Noise3,3.8980,10.5835
74,BollingerBands,Noise3,3.8980,3.9864
74,SimpleMomentum,Noise6,17.3507,21.7959
74,BollingerBands,Noise6,17.3507,46.3488
75,SimpleMomentum,Normal,1.0710,0.0679
75,BollingerBands,Normal,1.0710,-0.7276
75,SimpleMomentum,Noise3,-5.6021,6.8877
75,BollingerBands,Noise3,-5.6021,38.2379
75,SimpleMomentum,Noise6,-1.1686,24.4648
75,BollingerBands,Noise6,-1.1686,81.2401
76,SimpleMomentum,Normal,1.6210,0.0438
76,BollingerBands,Normal,1.6210,0.1119
76,SimpleMomentum,Noise3,-6.6192,7.6901
76,BollingerBands,Noise3,-6.6192,13.0514
76,SimpleMomentum,Noise6,-11.8098,13.0578
76,BollingerBands,Noise6,-11.8098,26.9342
77,SimpleMomentum,Normal,4.2784,2.1766
77,BollingerBands,Normal,4.2784,2.9192
77,SimpleMomentum,Noise3,8.0598,9.5144
77,BollingerBands,Noise3,8.0598,3.9864
77,SimpleMomentum,Noise6,-2.6536,22.5875
77,BollingerBands,Noise6,-2.6536,46.7594
78,SimpleMomentum,Normal,-3.2039,0.0000
78,BollingerBands,Normal,-3.2039,-0.8902
78,SimpleMomentum,Noise3,-4.7325,7.5558
78,BollingerBands,Noise3,-4.7325,8.9018
78,SimpleMomentum,Noise6,1.2896,21.8129
78,BollingerBands,Noise6,1.2896,45.5147
79,SimpleMomentum,Normal,3.1878,0.6996
79,BollingerBands,Normal,3.1878,5.0368
79,SimpleMomentum,Noise3,3.0658,10.4745
79,BollingerBands,Noise3,3.0658,3.9864
79,SimpleMomentum,Noise6,4.4644,22.0775
79,BollingerBands,Noise6,4.4644,46.3488
80,SimpleMomentum,Normal,7.6415,0.0000
80,BollingerBands,Normal,7.6415,0.3841
80,SimpleMomentum,Noise3,12.2597,13.0709
80,BollingerBands,Noise3,12.2597,0.0000
